improve_diplomatical_education;Seek a Tutor;Chercher un tuteur.;Einen Lehrer suchen;;Buscar a un tutor.;;;;;;;;;x
secpas10opt;A most interesting development. ;Une évolution intéressante.;Eine interessante Entwicklung.;;Un plan muy interesante..;;;;;;;;;x
EVTDESCSECPAS11;One night, after returning from your study, you decide to take a shortcut through the secret passages to get to your chambers. Suddenly, you hear a familiar voice speaking quietly on the other side of the wall.;Une nuit, de retour de votre bureau, vous prenez un raccourci via les passages secrets pour retourner à votre chambre. Soudain, une voie calme et familière parvient à vos oreilles de l'autre côté du mur.;Eines Nachts, nachdem Ihr von Euren Studien zurückkehrt, beschließt Ihr die Abkürzung durch die Geheimgänge zu nehmen um zu Euren Gemächern zu gelangen. Plötzlich hört Ihr eine vertraute Stimme von der anderen Seite der Wand.;;Una noche, después de regresar de tu estudio, decides tomar un atajo a través de los pasadizos secretos para llegar a tus cámaras. De repente, se oye una voz familiar que habla en voz baja en el otro lado de la pared.;;;;;;;;;x
secpas11opt;I wonder who that could be. ;Je me demande qui pourrait à cette heure-ci...;Ich frage mich, wer das ist …;;Me pregunto quién podría ser.;;;;;;;;;x
EVTDESCSECPAS13;Listening closely, you recognize [From.GetFirstName]'s voice! Even more surprising is [From.GetHerHis] conversation. It seems [From.GetSheHe] is planning to [From.GetPlot]. You quietly stand up and make your way back to your chambers, mulling over this new information. ;En écoutant attentivement, vous reconnaissez la voie de [From.GetFirstName]. Son sujet de conversation est par contre surprenant. Il semble qu'[From.GetSheHe] prévoit de [From.GetPlot]. Vous vous éloignez doucement et retournez à votre chambre, ressassant cette nouvelle information.;Als Ihr genauer zuhört, erkennt Ihr [From.GetFirstName]'s Stimme wieder. Überraschend ist allerdings, was [From.GetSheHe] zu bereden hat. Es scheint, als wolle [From.GetSheHe] [From.GetPlot]. Ihr macht Euch leise wieder auf den Weg zurück zu Eurern Gemächern, während Ihr über diese neuen Informationen nachdenkt.;;Escuchas de cerca, y reconoces la voz de [From.GetFirstName]. Aún más sorprendente es la conversación de [From.GetHerHis]. Parece que [From.GetSheHe] está planeando [From.GetPlot].Tranquilamente regresas a tus aposentos, reflexionando sobre esa nueva información..;;;;;;;;;x
secpas13opt;Interesting. ;Intéressant...;Höchst interessant …;;Interesante..;;;;;;;;;x
EVTDESCPEROBS4;Late one night, you wake up [From.GetFirstName] to take [From.GetHerHim] up to the observatory to do some stargazing. Suddenly, a flash of light in the night sky catches your attention. It is exactly what you think it is: a comet. ;Tard dans la nuit, vous réveillez [From.GetFirstName] et allez ensemble jusqu'à l'observatoire afin de vérifier vos prévisions. Soudain, un trait de lumière dans le ciel étoilé attire votre regard. C'est exactement ce que vous pensiez : une comète.;Spät in der Nacht, weckt Ihr [From.GetFirstName] damit [From.GetSheHe] Euch hoch zum Observatorium bringt, um mit euch die Sternen zu deuten. Plötzlich weckt ein helles Licht am Nachthimmel Eure Aufmerksamkeit. Es ist genau das, was Ihr denkt, das es ist: ein Schweifstern.;;Una noche, despiertas a [From.GetFirstName] para llevar a [From.GetHerHim] hasta el observatorio para hacer un poco de observación de las estrellas. De repente, un destello de luz en el cielo de la noche te llama la atención. Es exactamente lo que piensas que es: un cometa.;;;;;;;;;x
perobs4opt1;Tell your ward it's a sign of the end times and [From.GetSheHe] is doomed. ;Dîtes à votre acolyte qu'il s'agit d'un signe de la fin des temps et qu'une qu'une malédiction s'est abattue sur [From.GetHerHim].;Eurem Mündel sagen, dass dies ein Zeichen der Endzeit ist und dass [From.GetSheHe] dem Untergang geweiht ist.;;Le dices a tu pupilo que es un signo de los tiempos finales y que [From.GetSheHe] está condenado.;;;;;;;;;x
perobs4opt2;It's just a star in the sky, see? ;C'est juste une étoile dans le ciel, voyez-vous ?;Es ist nur ein Stern hoch oben am Himmelszelt, siehst du?;;Es sólo una estrella en el cielo, ¿ves?;;;;;;;;;x
perobs4opt3;Go to the library and look up the comet's position in your star charts. ;Allez à la bibliothèque pour rechercher la position de la comète dans vos cartes du ciel.;Zur Bibliothek gehen und die Position des Schweifsterns in Euren Sternenkarten nachschlagen.;;Ve a la biblioteca y busca la posición de la cometa en las cartas estelares.;;;;;;;;;x
perobs4opt4;Take your ward to the chapel to pray for salvation. ;Emmenez votre acolyte à la chapelle et priez pour obtenir le salut.;Euren Mündel in die Kapelle mitnehmen, um für Erlösung zu beten.;;Lleva a tu pupilo a la capilla para rezar por la salvación..;;;;;;;;;x
perobs4opt4tooltip;This option is available because you are §Yzealous§! and have a §YChapel§! ;Cette option est disponible parce que vous êtes §Yzélé§! et avez une §YChapelle§!;Ihr habt diese Option, da Ihr ein §YReligiöser Eiferer§! seid und eine §YKapelle§! gebaut habt. ;;Esta opción está disponible porque eres §YFanatico§! y tienes una §YCapilla§!;;;;;;;;;x
perobs4opt5;Nothing to see here, off to bed you go. ;Rien à voir ici, retournez vous coucher.;Nichts zu sehen, ab ins Bett mit dir.;;No hay nada que ver aquí, vete a la cama.;;;;;;;;;x
EVTDESCPEROBS5;It seems that [FromFrom.GetFirstName] has become cynical and finds superstition and religion to be a farce. ;[FromFrom.GetFirstName] semble être devenu cynique et trouve que les superstitions et la religion sont une farce.;Es scheint, als wäre [FromFrom.GetFirstName] zynisch geworden, [From.GetSheHe] hält Aberglaube und Religion für lächerlich.;;Parece que [FromFrom.GetFirstName] se ha convertido en cínico y encuentra a la superstición y a la religión como una farsa.;;;;;;;;;x
perobs5opt;I see. ;Je comprends.;Ich verstehe.;;Ya veo..;;;;;;;;;x
EVTDESCPEROBS6;It seems that [FromFrom.GetFirstName] has become overly trusting. This may not prove to be beneficial in the long run. ;[FromFrom.GetFirstName] semble être devenu trop confiant. Cela pourrait s'avérer néfaste sur le long terme.;Es scheint, als wäre [FromFrom.GetFirstName] allzu vertrauensvoll geworden. Dies dürfte sich auf lange Sicht nicht als vorteilhaft herausstellen.;;Parece que [FromFrom.GetFirstName] se ha convertido en confiado. Esto puede no resultar beneficioso para el a largo plazo.;;;;;;;;;x
perobs6opt;I see. ;Je comprends.;Ich verstehe.;;Ya veo..;;;;;;;;;x
exotic_plant_ca_garden;Dragon's Blood Plant;Dragonnier de Socotra;Drachenblutgewächs;;Planta de Sangre de Dragón.;;;;;;;;;x
exotic_plant_ca_garden_courtier;Exotic Plant;Plante exotique;Exotische Pflanze;;Planta exótica.;;;;;;;;;x
uneasy_dinner_convo_wife_negative;Humiliated;Humilié...;Gedemütigt;;Humillado.;;;;;;;;;x
uneasy_dinner_convo_wife_positive;Acknowledged Error;Reconnaitre l'erreur.;Eingestandener Fehler;;Error reconocido.;;;;;;;;;x
uneasy_dinner_convo_knight_positive;Noble Ruler;Noble souverain;Edler Herrscher;;Gobernante Noble.;;;;;;;;;x
random_imprisonment_ypc;Tyrant;Tyran !;Tyrann;;Tirano.;;;;;;;;;x
