#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### RELIGIOUS EVENTS ###
# FIRST RAVEN EVENTS #
EVTTITLE_ROBMODNORSE_00041;The Godslaws;Les lois des Dieux;Die Gesetze der Götter;;Las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00378_KILLED;[From.GetSocietyRank] [From.GetFirstName] has unfortunately been killed challenging for the title of Grand Champion. Although deaths in Kappir-Holmgang are rare (and usually unintentional) they do happen, as [From.GetFirstName] has learnt the hard way. [FromFrom.GetFirstName] remains Kappi-Efstr - for now.;[From.GetSocietyRank] [From.GetFirstName] a malheureusement été tué pour le titre de Grand Champion. [From.GetSheHeCap] a combattu courageusement, mais un swing sauvage de [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] a terminé [From.GetHerHis] challenge et [From.GetHerHis] life. Les décès dans Kappir-Holmgang sont rares (et habituellement involontaires), mais ils se produisent, car [From.GetFirstName] a bien compris.;[From.GetSocietyRank] [From.GetFirstName] wurde leider für den Titel Grand Champion getötet. [From.GetSheHeCap] kämpfte tapfer, aber eine wilde Schaukel von [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] endete [From.GetHerHis] Herausforderung und [From.GetHerHis] Leben. Die Todesfälle in Kappir-Holmgang sind selten (und meist unbeabsichtigt), aber sie passieren, da [From.GetFirstName] den harten Weg gelernt hat.;;[From.GetSocietyRank] [From.GetFirstName] por desgracia ha sido asesinado desafiante para el título de Gran Campeón. [From.GetSheHeCap] luchó valientemente, pero un swing salvaje de [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] terminó [From.GetHerHis] desafío, y [From.GetHerHis] la vida. Las muertes en Kappir-Holmgang son raras (y generalmente no intencionales), pero sí suceden, ya que [From.GetFirstName] ha aprendido de la manera más difícil.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00378_GCLOST;We have a new Kappi-Efstr! After a captivating fight, [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] successfully defeated the reigning Grand Champion in Kappir-Holmgang. [From.GetFirstName] will leave the Champions of Miðgarðr within the week, and - provided [FromFrom.GetSheHe] passes the requisite tests - [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] will be announced the successor!;Nous avons un nouveau Kappi-Efstr! Après un combat captivant, [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] a vaincu avec succès le Grand Champion régnant à Kappir-Holmgang. [From.GetFirstName] quittera les Champions de Miðgarðr au cours de la semaine et - à condition que [FromFrom.GetSheHe] passe les tests requis - [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] sera annoncé le successeur!;Wir haben eine neue Kappi-Efstr! Nach einem fesselnden Kampf, [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] erfolgreich besiegte den amtierenden Grand Champion in Kappir-Holmgang. [From.GetFirstName] wird die Champions von Miðgarðr innerhalb der Woche verlassen, und - vorausgesetzt, dass [FromFrom.GetSheHe] die notwendigen Tests bestanden hat - [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] wird der Nachfolger bekannt gegeben!;;Tenemos un nuevo Kappi-Efstr! Después de una lucha cautivadora, [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] derrotó con éxito al Gran Campeón reinante en Kappir-Holmgang. [From.GetFirstName] dejará a los Campeones de Miðgarðr dentro de la semana, y - siempre que [FromFrom.GetSheHe] pase las pruebas necesarias - [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] se anunciará el sucesor!;;;;;;;;;x
EVTDESC_ROBMODNORSE_00378_GCWOUND;We have a new Kappi-Efstr! After a captivating fight, [From.GetSocietyRank] [From.GetFirstName] was forced to withdraw after being badly wounded by [FromFrom.GetSocietyRank] [FromFrom.GetFirstName]. [From.GetFirstName] will leave the Champions of Miðgarðr within the week, and - provided [FromFrom.GetSheHe] passes the requisite tests - [FromFrom.GetFirstName] will be announced the successor!;Nous avons un nouveau Kappi-Efstr! Après un combat captivant, [From.GetSocietyRank] [From.GetFirstName] a été obligé de se retirer après avoir été gravement blessé par [FromFrom.GetSocietyRank] [FromFrom.GetFirstName]. [From.GetFirstName] quittera les Champions de Miðgarðr au cours de la semaine et, à condition que [FromFrom.GetSheHe] passe les tests requis - [FromFrom.GetFirstName] sera annoncé le successeur!;Wir haben eine neue Kappi-Efstr! Nach einem fesselnden Kampf wurde [From.GetSocietyRank] [From.GetFirstName] gezwungen, sich zurückzuziehen, nachdem er von [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] schwer verwundet wurde. [From.GetFirstName] wird die Champions von Miðgarðr innerhalb der Woche verlassen, und - vorausgesetzt, dass [From.GetSheHe] die erforderlichen Tests bestanden hat - [FromFrom.GetFirstName] wird der Nachfolger bekannt gegeben!;;Tenemos un nuevo Kappi-Efstr! Después de una lucha cautivadora, [From.GetSocietyRank] [From.GetFirstName] se vio obligado a retirarse después de haber sido gravemente herido por [FromFrom.GetSocietyRank] [FromFrom.GetFirstName]. [From.GetFirstName] dejará a los Campeones de Miðgarðr dentro de la semana, y - siempre [FromFrom.GetSheHe] pasa las pruebas necesarias - [FromFrom.GetFirstName] se anunciará el sucesor!;;;;;;;;;x
EVTDESC_ROBMODNORSE_00378_GCMAIM;We have a new Kappi-Efstr! After a captivating fight, [From.GetSocietyRank] [From.GetFirstName] was left in a pool of blood by [FromFrom.GetSocietyRank] [FromFrom.GetFirstName]. [From.GetFirstName] will leave the Champions of Miðgarðr within the week, and - provided [FromFrom.GetSheHe] passes the requisite tests - [FromFrom.GetFirstName] will be announced the successor!;Nous avons un nouveau Kappi-Efstr! Après un combat captivant, [From.GetSocietyRank] [From.GetFirstName] a été obligé de se retirer après avoir été gravement blessé par [FromFrom.GetSocietyRank] [FromFrom.GetFirstName]. [From.GetFirstName] quittera les Champions de Miðgarðr au cours de la semaine et, à condition que [FromFrom.GetSheHe] passe les tests requis - [FromFrom.GetFirstName] sera annoncé le successeur!;Wir haben eine neue Kappi-Efstr! Nach einem fesselnden Kampf wurde [From.GetSocietyRank] [From.GetFirstName] gezwungen, sich zurückzuziehen, nachdem er von [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] schwer verwundet wurde. [From.GetFirstName] wird die Champions von Miðgarðr innerhalb der Woche verlassen, und - vorausgesetzt, dass [From.GetSheHe] die erforderlichen Tests bestanden hat - [FromFrom.GetFirstName] wird der Nachfolger bekannt gegeben!;;Tenemos un nuevo Kappi-Efstr! Después de una lucha cautivadora, [From.GetSocietyRank] [From.GetFirstName] se vio obligado a retirarse después de haber sido gravemente herido por [FromFrom.GetSocietyRank] [FromFrom.GetFirstName]. [From.GetFirstName] dejará a los Campeones de Miðgarðr dentro de la semana, y - siempre [FromFrom.GetSheHe] pasa las pruebas necesarias - [FromFrom.GetFirstName] se anunciará el sucesor!;;;;;;;;;x
EVTDESC_ROBMODNORSE_00378_GCKILLED;We have a new Kappi-Efstr! After a captivating fight, [From.GetSocietyRank] [From.GetFirstName] was killed in Kappir-Holmgang by [FromFrom.GetSocietyRank] [FromFrom.GetFirstName]. The death marks a glorious end to [From.GetHerHis] reign, and - provided [FromFrom.GetSheHe] passes the requisite tests - [FromFrom.GetFirstName] will be announced the successor!;Nous avons un nouveau Kappi-Efstr! Après une lutte captivante, [From.GetSocietyRank] [From.GetFirstName] a été tué dans Kappir-Holmgang par [FromFrom.GetSocietyRank] [FromFrom.GetFirstName]. La mort marque une fin glorieuse de [From.GetHerHis] règne, et - à condition que [FromFrom.GetSheHe] passe les tests requis - [FromFrom.GetFirstName] sera annoncé le successeur!;Wir haben eine neue Kappi-Efstr! Nach einem fesselnden Kampf wurde [From.GetSocietyRank] [From.GetFirstName] in Kappir-Holmgang von [FromFrom.GetSocietyRank] [FromFrom.GetFirstName] getötet. Der Tod markiert ein glorreiches Ende von [From.GetHerHis] Herrschaft, und - vorausgesetzt [FromFrom.GetSheHe] übergibt die notwendigen Tests - [FromFrom.GetFirstName] wird der Nachfolger bekannt gegeben!;;Tenemos un nuevo Kappi-Efstr! Después de una pelea cautivadora, [From.GetSocietyRank] [From.GetFirstName] fue asesinado en Kappir-Holmgang por [FromFrom.GetSocietyRank] [FromFrom.GetFirstName]. La muerte marca un final glorioso para el reinado de [From.GetHerHis], y - siempre que [FromFrom.GetSheHe] apruebe las pruebas necesarias - [FromFrom.GetFirstName] se anunciará el sucesor!;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00378_NOTGC;And so ends the challenge of [From.GetSocietyRank] [From.GetFirstName].;Et ainsi finit le défi de [From.GetSocietyRank] [From.GetFirstName].;Und so endet die Herausforderung von [From.GetSocietyRank] [From.GetFirstName].;;Y así termina el reto de [From.GetSocietyRank] [From.GetFirstName].;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00378_GCALIVE;And so ends the reign of [From.GetSocietyRank] [From.GetFirstName].;Et finit ainsi le règne de [From.GetSocietyRank] [From.GetFirstName].;Und so endet die Herrschaft von [From.GetSocietyRank] [From.GetFirstName].;;Y así termina el reinado de [From.GetSocietyRank] [From.GetFirstName].;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00378_GCDEAD;The Kappi-Efstr is dead. Long live the Kappi-Efstr!;Et finit ainsi le règne de [From.GetSocietyRank] [From.GetFirstName].;[From.GetFirstName] forfeits [From.GetHerHis] Position unter den Champions;;[From.GetFirstName] pierde la posición [From.GetHerHis] entre los Campeones;;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_00378_01;[From.GetFirstName] forfeits [From.GetHerHis] position amongst the Champions;[From.GetFirstName] renonce à la position [From.GetHerHis] parmi les champions;Du hast deine Position unter den Champions verloren;;Usted pierde su posición entre los campeones;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIPA_ROBMODNORSE_00378_02;[From.GetFirstName] is maimed!;[From.GetFirstName] est mutilé!;[From.GetFirstName] ist verstümmelt!;;[From.GetFirstName] está mutilado!;;;;;;;;;x,,,,,,,,,,
# ACQUIRE A WEAPON #
EVTDESC_ROBMODNORSE_00290;"To the finest Skóðsmiða in the land. [Root.GetTitledName], [Root.GetSocietyRank] of the Kappa-af-Miðgarðr requires your services. Your craftwork will be seen throughout the land in the hands of a true warrior - what better way to promote your skills." The bill is ready to be posted throughout the [Root.PrimaryTitle.GetFullBaseName]!;"Pour le plus beau Skóðsmiða dans la terre. [Root.GetTitledName], [Root.GetSocietyRank] du Kappa-af-Miðgarðr nécessite vos services. Votre travail artisanal sera vu dans tout le pays entre les mains d'un véritable guerrier - de quelle meilleure façon Pour promouvoir vos compétences." Le projet de loi est prêt à être affiché à travers le [Root.PrimaryTitle.GetFullBaseName]!;"Zu den schönsten Skóðsmiða im Lande, [Root.GetTitledName], [Root.GetSocietyRank] der Kappa-af-Miðgarðr verlangt Ihre Dienste. Ihr Handwerk wird im ganzen Land in den Händen eines wahren Kriegers gesehen - was für ein besserer Weg Um deine Fähigkeiten zu fördern." Die Rechnung ist bereit, in der gesamten [Root.PrimaryTitle.GetFullBaseName] veröffentlicht zu werden!;;"Para el mejor Skóðsmiða en la tierra. [Root.GetTitledName], [Root.GetSocietyRank] de la Kappa-af-Miðgarðr requiere sus servicios.Tu artesanía se verá en toda la tierra en las manos de un verdadero guerrero - ¿qué mejor manera Para promover sus habilidades. " La factura está lista para ser publicada en todo el [Root.PrimaryTitle.GetFullBaseName]!;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00290;Let us hope their steel is true.;Espérons que leur acier est vrai.;Lassen Sie uns hoffen, dass ihr Stahl wahr ist.;;Esperemos que su acero sea cierto.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00290;The request is posted;La demande est publiée;Die Anfrage wird gebucht;;La solicitud se publica;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00291;You received many applicants to be your personal weaponsmith, but none as impressive as the proprietor of Gullsskoðr in [Root.Capital.GetName]. The blades he exhibits to you are enchanting and of many different designs. What is your weapon of choice?;Vous avez reçu de nombreux demandeurs pour être votre armurier personnel, mais aucun aussi impressionnant que le propriétaire de Gullsskoðr dans [Root.Capital.GetName]. Les lames qu'il vous présente sont enchanteresses et de nombreuses conceptions différentes. Que préférez-vous?;Sie erhielten viele Bewerber, um Ihre persönliche Waffenschmied zu sein, aber keiner so beeindruckend wie der Besitzer von Gullsskoðr in [Root.Capital.GetName]. Die Klingen, die er Ihnen zeigt, sind bezaubernd und von vielen verschiedenen Designs. Was würdest du bevorzugen?;;Usted recibió muchos solicitantes para ser su weaponsmith personal, pero ninguno tan impresionante como el propietario de Gullsskoðr en [Root.Capital.GetName]. Las cuchillas que él exhibe a usted son encantadoras y de muchos diversos diseños. ¿Cual preferirías?;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00291;An axe is a true Norseman's blade.;Une hache est une véritable lame d'homme nordique.;Eine Axt ist eine echte Kathedrale des nordischen Mannes.;;Un hacha es la verdadera espada de un hombre nórdico.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00291_01;Ask for an axe to be forged;Demandez une hache à forger;Fragen Sie nach einer Axt, die geschmiedet werden soll;;Pide que un hacha sea forjada;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00291;Yes, but a broadsword is more versatile.;Oui, mais un glaive est plus polyvalent.;Ja, aber ein Breitschwert ist vielseitiger.;;Sí, pero un espadón es más versátil.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00291_02;Ask the smith to forge a sword;Demandez au forgeron de forger un épée;Bitten Sie den Schmied, ein Schwert zu schmieden;;Pide al herrero que forja una espada;;;;;;;;;x,,,,,,,,,,
EVTOPTC_ROBMODNORSE_00291;I'm looking for something more... smashy.;Je cherche quelque chose qui va briser.;Ich suche etwas, das zerschlagen wird.;;Estoy buscando algo que se rompa.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00291_03;A mace it is then;Une masse est alors;Eine Keule ist es dann;;Una maza es entonces;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00292;Next, the weaponsmith exhibits blades of varying quality. He claims he can forge you one of his standard blades for free, but a more personalised one will cost you for materials and take slightly longer to make. Finally, he shows you his masterpiece - a truly beautiful weapon, but it would cost you a Konungr's ransom.;Ensuite, l'arme smith présente des lames de qualité variable. Il prétend pouvoir te forger une de ses lames standard gratuitement, mais un plus personnalisé vous coûtera pour les matériaux et prend un peu plus de temps à faire. Enfin, il vous montre son chef-d'œuvre - une arme vraiment belle, mais cela vous coûtera une rançon de Konungr.;Als nächstes zeigt der Waffenschmied Klingen unterschiedlicher Qualität. Er behauptet, er könne dir eines seiner Standardklingen kostenlos geben, aber ein persönlicher wird dich für Material kosten und etwas länger dauern. Schließlich zeigt er Ihnen sein Meisterwerk - eine wirklich schöne Waffe, aber es würde Ihnen ein Konungrs Lösegeld kosten.;;A continuación, el herrero arma exhibe cuchillas de calidad variable. Él afirma que puede forjarle una de sus hojas estándar de forma gratuita, pero una más personalizada le costará para los materiales y tomar un poco más de tiempo para hacer. Finalmente, él le muestra su obra maestra - una arma verdaderamente hermosa, pero le costaría un rescate de Konungr.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00292;An off-the-shelf one will suffice.;Un standard sera suffisant.;Ein Standard wird genügen.;;Un estándar será suficiente.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00292_01;Order a standard weapon to be made. It will do the job, if not spectacularly;Commander une arme standard à faire. Il fera le travail, sinon de façon spectaculaire;Bestellen Sie eine Standardwaffe. Es wird den Job machen, wenn nicht spektakulär;;Ordene un arma estándar que se hará. Hará el trabajo, si no espectacularmente;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00292;Something more personalised would be nice.;Quelque chose de plus personnalisé serait sympa.;Etwas persönlicher wäre nett.;;Algo más personalizado sería agradable.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00292_02;The smith will forge a personalised weapon made of quality materials. It will serve you well;Le smith va forger une arme personnalisée faite de matériaux de qualité. Il vous servira bien;Der Schmied wird eine personalisierte Waffe aus hochwertigen Materialien schmieden. Es wird dir gut dienen;;El herrero forjará un arma personalizada hecha de materiales de calidad. Te servirá bien;;;;;;;;;x,,,,,,,,,,
EVTOPTC_ROBMODNORSE_00292;By Týr, look at it gleam in the torchlight! I must have one...;Par Týr, regardez-le briller dans la lumière des torches!;Von Týr, schau es dir im Fackelschein an!;;Por Týr! Míralo a la luz de las antorchas.;;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00292_03;Challenge the smith to surpass his greatest feats and forge a weapon to make you the envy of Miðgarðr;Défiez le smith pour dépasser son plus grand exploit à la recherche de l'arme parfaite;Fordern Sie den Schmied heraus, seine größte Leistung auf der Suche nach der perfekten Waffe zu übertreffen;;Desafía al herrero a superar su mayor hazaña en busca del arma perfecta;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00293_CHEAP;The weaponsmith arrives at your halls, carrying a wooden chest. Opening it, you see the weapon he forged for you. It is of simple design, engraved only with the weaponsmith's own mark, but it appears sturdy and feels well-made.;L'arme smith arrive dans vos halls, portant une coque en bois. En l'ouvrant, vous voyez l'épée qu'il a forgé pour vous. Il est de conception simple, gravé uniquement avec la marque de l'armement, mais il semble robuste et se sent bien fait.;Der Waffenschmied kommt zu deinen Hallen und trägt eine Holztruhe. Eröffne es, du siehst das Schwert, das er für dich geschmiedet hat. Es ist von einfachem Design, graviert nur mit der Waffe eigenen Marke, aber es erscheint robust und fühlt sich gut gemacht.;;El herrero de arma llega a sus salas, llevando un cofre de madera. Al abrirla, ves la espada que forjó para ti. Es de diseño simple, grabado sólo con la marca de la armadura, pero parece robusto y se siente bien hecho.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00293_GOOD;The weaponsmith arrives at your halls, carrying a gilded wooden chest. Opening it, you see the fine weapon he has forged for you. It is made of the finest steel with a rune-inlaid handle, and is light and well-balanced. You're looking forward to trying it out.;L'arme smith arrive dans vos salles, portant un coffre en bois doré. En l'ouvrant, vous voyez l'arme fine qu'il a forgée pour vous. Il est fabriqué en acier fin avec une poignée en forme de rune, et vous êtes impatient d'essayer.;Der Waffenschmied kommt zu deinen Hallen und trägt eine vergoldete Holztruhe. Eröffne dich, du siehst die feine Waffe, die er für dich geschmiedet hat. Es ist aus dem feinsten Stahl mit einem Runen-eingelegten Griff, und du freust euch, es auszuprobieren.;;El herrero de armas llega a sus salas, llevando un pecho de madera dorada. Abriéndolo, ves el fino arma que forjó para ti. Está hecho del acero más fino con una manija runa-embutida, y usted está mirando adelante a probarlo.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00293_GREAT;The weaponsmith arrives at your halls, carrying a golden chest. The whole room gasps as he opens it, and you with them. Your new weapon is made of the finest steel from the East, with precious stones inlaid into the gold-embossed handle. It is perfectly balanced to your physique, and feels light as a feather in your hands. You can't wait to carry it into battle.;L'arme smith arrive dans vos halls, portant un coffre doré. Toute la salle gronde quand il l'ouvre, et toi avec eux. Votre nouvelle arme est faite de l'acier le plus fin de l'Est, avec des pierres précieuses incrustées dans la poignée en relief d'or. Il est parfaitement équilibré pour votre physique et se sent léger comme une plume dans vos mains. Vous ne pouvez pas attendre pour le porter dans le combat.;Der Waffenschmied kommt zu deinen Hallen und trägt eine goldene Brust. Der ganze Raum keucht, als er es öffnet, und du mit ihnen. Ihre neue Waffe besteht aus dem feinsten Stahl aus dem Osten, mit Edelsteinen, die in den goldgeprägten Griff eingelegt sind. Es ist vollkommen ausgeglichen zu deinem Körper und fühlt Licht als Feder in deinen Händen. Sie können es kaum erwarten, es in die Schlacht zu bringen.;;El herrero de armas llega a sus salas, llevando un cofre dorado. La habitación entera jadea cuando la abre, y tú con ellos. Su nueva arma está hecha del acero más fino del este, con las piedras preciosas embutidas en la manija en relieve oro. Es perfectamente equilibrado a su físico, y se siente ligero como una pluma en sus manos. No puedes esperar para llevarlo a la batalla.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00293_CHEAP;This will do just fine for me.;Cela va bien pour moi.;Das wird mir gut gefallen.;;Esto hará muy bien para mí.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00293_GOOD;A weapon to be proud of.;Une arme pour être fière.;Eine Waffe, auf die man stolz sein kann.;;Un arma para estar orgullosa.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00293_GREAT;It's... incredible!;C'est incroyable!;Es ist unglaublich!;;¡Es increíble!;;;;;;;;;x
# INTIMIDATE #
EVTDESC_ROBMODNORSE_00302;Out on a walk alone this morning, at first I didn't see [FromFrom.GetTitledFirstName] approaching. But then [FromFrom.GetSheHe] was there, seeming to tower over me. [FromFrom.GetSheHeCap] got very close and told me - in great detail - about what happens to people foolish enough to defy a Champion of Miðgarðr...;En début de matinée, je n'ai pas vu [FromFrom.GetTitledFirstName] approcher. Mais alors [FromFrom.GetSheHe] était là, semblant tourner sur moi. [FromFrom.GetSheHeCap] s'est approché et m'a dit - en détail - sur ce qui arrive aux gens assez sots pour défier un Champion de Miðgarðr ...;Auf einem Spaziergang alleine an diesem Morgen, zuerst sah ich nicht [FromFrom.GetTitledFirstName] nähert sich. Aber dann war es, da ich auf mich auftauchen wollte. [FromFrom.GetSheHeCap] wurde sehr nah und erzählte mir - im Detail - über das, was passiert, Leute töricht genug, um einem Champion von Miðgarðr zu trotzen ...;;En una caminata sola esta mañana, al principio no vi [FromFrom.GetTitledFirstName] acercarse. Pero entonces [FromFrom.GetSheHe] estaba allí, parecía que se elevaba sobre mí. [FromFrom.GetSheHeCap] se acercó muy cerca y me dijo - con gran detalle - sobre lo que le pasa a la gente lo bastante tonta como para desafiar a un Campeón de Miðgarðr ...;;;;;;;;;x
EVTDESC_ROBMODNORSE_00303;I made sure [From.GetTitledFirstName] was alone when I confronted [From.GetHerHim]. Rising to my full height, I got very close and told me - in great detail - about what happens to people foolish enough to defy a Champion of Miðgarðr. [From.GetSheHeCap] seemed to understand the threat, and would not meet my gaze.;Je me suis assuré que [From.GetTitledFirstName] était seul quand j'ai affronté [From.GetHerHim]. À mon plein fond, je me suis rapprochée et m'a dit - en détail - sur ce qui arrive aux gens assez sots pour défier un Champion de Miðgarðr. [From.GetSheHeCap] semblait comprendre la menace, et ne rencontrerait pas mon regard.;Ich habe sicher, dass [From.GetTitledFirstName] allein war, als ich konfrontiert [From.GetHerHim]. Auf meine volle Höhe zu steigen, bin ich sehr nah und erzählte mir - im Detail - über das, was mit den Leuten töricht genug ist, um einem Champion von Miðgarðr zu trotzen. [From.GetSheHeCap] schien die Bedrohung zu verstehen und würde mir nicht begegnen.;;Me aseguré de que [From.GetTitledFirstName] estaba solo cuando me enfrenté [From.GetHerHim]. Levantándome a toda mi altura, me puse muy cerca y me contó - con gran detalle - lo que le ocurre a la gente lo bastante tonta como para desafiar a un Campeón de Miðgarðr. [From.GetSheHeCap] parecía entender la amenaza, y no encontraría mi mirada.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00304;I made sure [From.GetTitledFirstName] was alone when I confronted [From.GetHerHim]. Rising to my full height, I got very close and told me - in great detail - about what happens to people foolish enough to defy a Champion of Miðgarðr. After I'd finished, [From.GetSheHe] had the nerve to laugh in my face, before turning and walking away. It seems my attempt to intimidate [From.GetFirstName] has failed.;Je me suis assuré que [From.GetTitledFirstName] était seul quand j'ai affronté [From.GetHerHim]. À mon plein fond, je me suis rapprochée et m'a dit - en détail - sur ce qui arrive aux gens assez sots pour défier un Champion de Miðgarðr. Après avoir fini, [From.GetSheHe] a eu le courage de rire dans mon visage, avant de me retourner et de m'en aller. Il semble que ma tentative d'intimidation [From.GetFirstName] ait échoué.;Ich habe sicher, dass [From.GetTitledFirstName] allein war, als ich konfrontiert [From.GetHerHim]. Auf meine volle Höhe zu steigen, bin ich sehr nah und erzählte mir - im Detail - über das, was mit den Leuten töricht genug ist, um einem Champion von Miðgarðr zu trotzen. Nachdem ich fertig war, hatte [From.GetSheHe] den Nerv, in meinem Gesicht zu lachen, bevor er sich umdrehte und wegging. Es scheint, dass mein Versuch, [From.GetFirstName] einzuschüchtern, fehlgeschlagen ist.;;Me aseguré de que [From.GetTitledFirstName] estaba solo cuando me enfrenté [From.GetHerHim]. Levantándome a toda mi altura, me puse muy cerca y me contó - con gran detalle - lo que le ocurre a la gente lo bastante tonta como para desafiar a un Campeón de Miðgarðr. Después de haber terminado, [From.GetSheHe] tenía el valor de reír en mi cara, antes de dar la vuelta y alejarse. Parece que mi intento de intimidar [From.GetFirstName] ha fallado.;;;;;;;;;x
# INSPIRE TROOPS #
EVTDESC_ROBMODNORSE_00320;You stand in your finest glittering armour before thousands of warriors ready to go to war. As a famous Champion of Miðgarðr, you know your words have the power to embolden the hearts of your men. Of what will you speak?;Vous vous tenez dans votre plus belle armure étincelante avant des milliers de guerriers prêts à aller en guerre. En tant que Champion célèbre de Miðgarðr, vous savez que vos mots ont le pouvoir d'encourager le cœur de vos hommes. De quoi parlez-vous?;Du stehst in deiner schönsten glitzernden Rüstung vor Tausenden von Kriegern bereit, in den Krieg zu gehen. Als berühmter Champion von Miðgarðr wissen Sie, dass Ihre Worte die Macht haben, die Herzen Ihrer Männer zu ermutigen. Von was sprichst du;;Usted está en su mejor armadura brillante antes de miles de guerreros listos para ir a la guerra. Como famoso campeón de Miðgarðr, sabes que tus palabras tienen el poder de envalecer los corazones de tus hombres. ¿De qué hablarás?;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00320;“Your deeds in battle will echo forevermore in Valhalla!”;"Vos actes dans la bataille seront écho pour toujours à Valhalla!";"Deine Taten in der Schlacht werden immer wieder in Valhalla echo!";;"¡Tus acciones en la batalla se repetirán para siempre en Valhalla!";;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_00320;Speak of the rewards that await your men in the afterlife;Parlez des récompenses qui attendent vos hommes dans l'au-delà;Sprich von den Belohnungen, die deine Männer im Jenseits erwarten;;Hablar de las recompensas que esperan a sus hombres en la otra vida;;;;;;;;;x,,,,,,,,,,
EVTOPTB_ROBMODNORSE_00320;“Men shall sing of your valour from Norðríkki to Danmark!”;"Les hommes doivent chanter votre valeur de Norðríkki au Danmark!";"Männer werden von deiner Tapferkeit von Norðríkki nach Danmark singen!";;"¡Los hombres cantarán tu valor de Norðríkki a Danmark!";;;;;;;;;x
EVTTOOLTIPB_ROBMODNORSE_00320;Speak of the glory and respect to be won in battle;Parle de la gloire et du respect à gagner au combat;Sprich von der Herrlichkeit und Respekt, um in der Schlacht gewonnen zu werden;;Habla de la gloria y el respeto que se ganará en la batalla;;;;;;;;;x,,,,,,,,,,
EVTOPTC_ROBMODNORSE_00320;“The Norseman takes what he desires by blood and steel!”;"L'homme nordique prend ce qu'il désire par le sang et l'acier!";"Der Nordisch Mann nimmt das, was er durch Blut und Stahl wünscht!";;"¡El hombre nórdico toma lo que desea con sangre y acero!";;;;;;;;;x
EVTTOOLTIPC_ROBMODNORSE_00320;Speak of the right of conquest and the weakness of your enemy;Parlez du droit de conquête et de la faiblesse de votre ennemi;Sprich von dem Recht auf Eroberung und die Schwäche deines Feindes;;Habla del derecho de conquista y de la debilidad de tu enemigo;;;;;;;;;x,,,,,,,,,,
EVTOPTD_ROBMODNORSE_00320;“You must fight for your women and children!”;"Vous devez vous battre pour vos femmes et vos enfants!";"Du musst für deine Frauen und Kinder kämpfen!";;"¡Debes luchar por tus mujeres y tus hijos!";;;;;;;;;x
EVTTOOLTIPD_ROBMODNORSE_00320;Speak of the terrible evils the invading armies would inflict upon the land;Parle des maux terribles que les armées envahissantes infligeraient à la terre;Sprich von den schrecklichen Übeln, die die eindringenden Armeen auf das Land bringen würden;;Hablar de los terribles males que los ejércitos invasores infligirían a la tierra;;;;;;;;;x,,,,,,,,,,
